experiment,checkpoint,pred_conf,nms_iou,match_iou_threshold,total_predictions,total_gt,total_matches,correct_matches,wrong_class_matches,unmatched_predictions,unmatched_gt,mean_iou_matched,matched_accuracy,matched_f1_macro,matched_f1_micro,class_aware_precision,class_aware_recall,class_aware_f1,localization_precision,localization_recall,localization_f1,tp,fp,fn
baseline/last,last,0.25,0.7,0.5,778,760,587,530,57,191,173,0.7800862154521975,0.9028960817717206,0.8249809619041286,0.9028960817717206,0.6812339331619537,0.6973684210526315,0.6892067620286086,0.7544987146529563,0.7723684210526316,0.7633289986996099,530,248,230
enhanced/epoch0,epoch0,0.25,0.7,0.5,616,760,435,352,83,181,325,0.7773063766545263,0.8091954022988506,0.581525194766949,0.8091954022988506,0.5714285714285714,0.4631578947368421,0.5116279069767442,0.7061688311688312,0.5723684210526315,0.632267441860465,352,264,408
enhanced/epoch1,epoch1,0.25,0.7,0.5,1176,760,580,471,109,596,180,0.7622647652338291,0.8120689655172414,0.592544767225176,0.8120689655172414,0.4005102040816326,0.6197368421052631,0.48657024793388426,0.4931972789115646,0.7631578947368421,0.5991735537190082,471,705,289
enhanced/epoch2,epoch2,0.25,0.7,0.5,734,760,524,445,79,210,236,0.7707675211984693,0.8492366412213741,0.6879198148594701,0.8492366412213741,0.6062670299727521,0.5855263157894737,0.5957161981258368,0.7138964577656676,0.6894736842105263,0.7014725568942437,445,289,315
enhanced/epoch3,epoch3,0.25,0.7,0.5,718,760,512,454,58,206,248,0.7727727501187474,0.88671875,0.7665645834070823,0.88671875,0.6323119777158774,0.5973684210526315,0.6143437077131257,0.713091922005571,0.6736842105263158,0.692828146143437,454,264,306
enhanced/epoch4,epoch4,0.25,0.7,0.5,893,760,564,506,58,329,196,0.7710082975896537,0.8971631205673759,0.769215398510228,0.8971631205673759,0.5666293393057111,0.6657894736842105,0.6122202056866304,0.631578947368421,0.7421052631578947,0.6823956442831215,506,387,254
enhanced/epoch5,epoch5,0.25,0.7,0.5,782,760,565,497,68,217,195,0.7721388439161587,0.879646017699115,0.7705877976087636,0.879646017699115,0.6355498721227621,0.6539473684210526,0.6446173800259403,0.7225063938618926,0.743421052631579,0.7328145265888457,497,285,263
enhanced/epoch6,epoch6,0.25,0.7,0.5,820,760,549,495,54,271,211,0.7742825414313644,0.9016393442622951,0.8091283373135039,0.9016393442622951,0.6036585365853658,0.6513157894736842,0.6265822784810127,0.6695121951219513,0.7223684210526315,0.6949367088607594,495,325,265
enhanced/epoch7,epoch7,0.25,0.7,0.5,702,760,536,482,54,166,224,0.7759257788533596,0.8992537313432836,0.7896783900801487,0.8992537313432836,0.6866096866096866,0.6342105263157894,0.6593707250341997,0.7635327635327636,0.7052631578947368,0.7332421340629275,482,220,278
enhanced/epoch8,epoch8,0.25,0.7,0.5,772,760,560,489,71,212,200,0.7739059132124696,0.8732142857142857,0.759365520411545,0.8732142857142857,0.633419689119171,0.6434210526315789,0.6383812010443864,0.7253886010362695,0.7368421052631579,0.7310704960835509,489,283,271
enhanced/epoch9,epoch9,0.25,0.7,0.5,893,760,586,523,63,307,174,0.7713435038975074,0.8924914675767918,0.8350505006048411,0.8924914675767918,0.5856662933930571,0.6881578947368421,0.632788868723533,0.6562150055991042,0.7710526315789473,0.7090139140955838,523,370,237
enhanced/epoch10,epoch10,0.25,0.7,0.5,808,760,568,511,57,240,192,0.7692766948275163,0.8996478873239436,0.8001916395741697,0.8996478873239436,0.6324257425742574,0.6723684210526316,0.6517857142857143,0.7029702970297029,0.7473684210526316,0.7244897959183674,511,297,249
enhanced/epoch11,epoch11,0.25,0.7,0.5,805,760,570,522,48,235,190,0.7756181800574588,0.9157894736842105,0.8139163359524006,0.9157894736842105,0.6484472049689441,0.6868421052631579,0.6670926517571885,0.7080745341614907,0.75,0.7284345047923322,522,283,238
enhanced/epoch12,epoch12,0.25,0.7,0.5,808,760,577,518,59,231,183,0.7778925683923983,0.8977469670710572,0.8415024483576201,0.8977469670710572,0.6410891089108911,0.6815789473684211,0.6607142857142858,0.7141089108910891,0.7592105263157894,0.735969387755102,518,290,242
